StudyId,Title,Authors,PublicationName,AlternateName,Abstract,Url,AuthorAddress,Year,Doi,ReferenceType,Keywords,PdfRelativePath,CustomId,DateTimeStudyAdded,SystematicSearchId,SystematicSearchName,Reconciled,InvestigatorId,InvestigatorName,Random allocation to group (treatment/control),Type of cage/housing,Compliance with animal welfare regulations,DateTimeDataEntered,ExperimentId,ExperimentLabel,CohortId,CohortLabel,NumberOfAnimals,IsDiseaseModelControl,DiseaseModelId(s),DiseaseModelLabel(s),IsTreatmentControl,TreatmentId(s),TreatmentLabel(s),OutcomeId,OutcomeLabel,GreaterIsWorse,TimeInMinute,OutcomeAverage,OutcomeAverageType,OutcomeUnit,OutcomeError,ErrorType
35f48e49-c75e-4113-970b-4793c89e67a4,"""Antidepressant effects of AMPA and ketamine combination: role of hippocampal BDNF, synapsin, and mTOR""", L. Akinfiresoye and Y. Tizabi,,Psychopharmacology (Berl),"""RATIONALE: A number of preclinical and clinical studies suggest that ketamine, a glutamate N-methyl-D-aspartate receptor antagonist, has a rapid and lasting antidepressant effect when administered either acutely or chronically. It has been postulated that this effect is due to stimulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors. OBJECTIVE: In this study, we tested whether AMPA alone has an antidepressant effect and if the combination of AMPA and ketamine provides added benefit in Wistar-Kyoto rats, a putative animal model of depression. RESULTS: Chronic AMPA treatment resulted in a dose-dependent antidepressant effect in both the forced swim test and sucrose preference test. Moreover, chronic administration (10-11 days) of combinations of AMPA and ketamine, at doses that were ineffective on their own, resulted in a significant antidepressant effect. The behavioral effects were associated with increases in hippocampal brain-derived neurotrophic factor, synapsin, and mammalian target of rapamycin. CONCLUSION: These findings are the first to provide evidence for an antidepressant effect of AMPA and suggest the usefulness of AMPA-ketamine combination in treatment of depression. Furthermore, these effects appear to be associated with increases in markers of hippocampal neurogenesis and synaptogenesis, suggesting a mechanism of their action""",http://www.ncbi.nlm.nih.gov/pubmed/23732839,,2013,,b0aa72fe-c24a-4eaa-b3d7-b274afd08387,3817,Akinfiresoye-2013-Antidepressant effects of AM.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,24/07/2023 09:40,e08db51c-6513-4e03-82e6-1ed6bb766f38,FST ,eb5d1776-3644-43ea-b46b-11c9817d4179,FST/Sal,8,FALSE,138421e0-d4bc-4d12-a1bd-8c8f5a586b2b,FST,TRUE,b9bfb9b8-ac81-4301-ac46-4bb1777cb07b,Saline,1da16171-ea41-4f3c-9d89-e545bf63682b,FST Immobility,TRUE,20,22.45,mean,seconds,1.92,SD
35f48e49-c75e-4113-970b-4793c89e67a4,"""Antidepressant effects of AMPA and ketamine combination: role of hippocampal BDNF, synapsin, and mTOR""", L. Akinfiresoye and Y. Tizabi,,Psychopharmacology (Berl),"""RATIONALE: A number of preclinical and clinical studies suggest that ketamine, a glutamate N-methyl-D-aspartate receptor antagonist, has a rapid and lasting antidepressant effect when administered either acutely or chronically. It has been postulated that this effect is due to stimulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors. OBJECTIVE: In this study, we tested whether AMPA alone has an antidepressant effect and if the combination of AMPA and ketamine provides added benefit in Wistar-Kyoto rats, a putative animal model of depression. RESULTS: Chronic AMPA treatment resulted in a dose-dependent antidepressant effect in both the forced swim test and sucrose preference test. Moreover, chronic administration (10-11 days) of combinations of AMPA and ketamine, at doses that were ineffective on their own, resulted in a significant antidepressant effect. The behavioral effects were associated with increases in hippocampal brain-derived neurotrophic factor, synapsin, and mammalian target of rapamycin. CONCLUSION: These findings are the first to provide evidence for an antidepressant effect of AMPA and suggest the usefulness of AMPA-ketamine combination in treatment of depression. Furthermore, these effects appear to be associated with increases in markers of hippocampal neurogenesis and synaptogenesis, suggesting a mechanism of their action""",http://www.ncbi.nlm.nih.gov/pubmed/23732839,,2013,,b0aa72fe-c24a-4eaa-b3d7-b274afd08387,3817,Akinfiresoye-2013-Antidepressant effects of AM.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,24/07/2023 09:40,e08db51c-6513-4e03-82e6-1ed6bb766f38,FST ,f3979c7f-10ca-4fc4-917a-7379d48ecaed,FST/Ket 0.5,8,FALSE,138421e0-d4bc-4d12-a1bd-8c8f5a586b2b,FST,FALSE,db039639-0fed-4961-bf5b-7f899db52e0c,Ketamine 0.5,1da16171-ea41-4f3c-9d89-e545bf63682b,FST Immobility,TRUE,20,16.57,mean,seconds,2.06,SD
35f48e49-c75e-4113-970b-4793c89e67a4,"""Antidepressant effects of AMPA and ketamine combination: role of hippocampal BDNF, synapsin, and mTOR""", L. Akinfiresoye and Y. Tizabi,,Psychopharmacology (Berl),"""RATIONALE: A number of preclinical and clinical studies suggest that ketamine, a glutamate N-methyl-D-aspartate receptor antagonist, has a rapid and lasting antidepressant effect when administered either acutely or chronically. It has been postulated that this effect is due to stimulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors. OBJECTIVE: In this study, we tested whether AMPA alone has an antidepressant effect and if the combination of AMPA and ketamine provides added benefit in Wistar-Kyoto rats, a putative animal model of depression. RESULTS: Chronic AMPA treatment resulted in a dose-dependent antidepressant effect in both the forced swim test and sucrose preference test. Moreover, chronic administration (10-11 days) of combinations of AMPA and ketamine, at doses that were ineffective on their own, resulted in a significant antidepressant effect. The behavioral effects were associated with increases in hippocampal brain-derived neurotrophic factor, synapsin, and mammalian target of rapamycin. CONCLUSION: These findings are the first to provide evidence for an antidepressant effect of AMPA and suggest the usefulness of AMPA-ketamine combination in treatment of depression. Furthermore, these effects appear to be associated with increases in markers of hippocampal neurogenesis and synaptogenesis, suggesting a mechanism of their action""",http://www.ncbi.nlm.nih.gov/pubmed/23732839,,2013,,b0aa72fe-c24a-4eaa-b3d7-b274afd08387,3817,Akinfiresoye-2013-Antidepressant effects of AM.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,24/07/2023 09:40,e08db51c-6513-4e03-82e6-1ed6bb766f38,FST ,9b7fd5a2-5164-460b-8e34-f2737162cbdc,FST/Ket 0.25,8,FALSE,138421e0-d4bc-4d12-a1bd-8c8f5a586b2b,FST,FALSE,f990c413-cdcc-4268-b83b-2358db8192b2,Ketamine 0.25,1da16171-ea41-4f3c-9d89-e545bf63682b,FST Immobility,TRUE,20,21.55,mean,seconds,2.06,SD
35f48e49-c75e-4113-970b-4793c89e67a4,"""Antidepressant effects of AMPA and ketamine combination: role of hippocampal BDNF, synapsin, and mTOR""", L. Akinfiresoye and Y. Tizabi,,Psychopharmacology (Berl),"""RATIONALE: A number of preclinical and clinical studies suggest that ketamine, a glutamate N-methyl-D-aspartate receptor antagonist, has a rapid and lasting antidepressant effect when administered either acutely or chronically. It has been postulated that this effect is due to stimulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors. OBJECTIVE: In this study, we tested whether AMPA alone has an antidepressant effect and if the combination of AMPA and ketamine provides added benefit in Wistar-Kyoto rats, a putative animal model of depression. RESULTS: Chronic AMPA treatment resulted in a dose-dependent antidepressant effect in both the forced swim test and sucrose preference test. Moreover, chronic administration (10-11 days) of combinations of AMPA and ketamine, at doses that were ineffective on their own, resulted in a significant antidepressant effect. The behavioral effects were associated with increases in hippocampal brain-derived neurotrophic factor, synapsin, and mammalian target of rapamycin. CONCLUSION: These findings are the first to provide evidence for an antidepressant effect of AMPA and suggest the usefulness of AMPA-ketamine combination in treatment of depression. Furthermore, these effects appear to be associated with increases in markers of hippocampal neurogenesis and synaptogenesis, suggesting a mechanism of their action""",http://www.ncbi.nlm.nih.gov/pubmed/23732839,,2013,,b0aa72fe-c24a-4eaa-b3d7-b274afd08387,3817,Akinfiresoye-2013-Antidepressant effects of AM.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,24/07/2023 09:40,e08db51c-6513-4e03-82e6-1ed6bb766f38,FST ,eb5d1776-3644-43ea-b46b-11c9817d4179,FST/Sal,8,FALSE,138421e0-d4bc-4d12-a1bd-8c8f5a586b2b,FST,TRUE,b9bfb9b8-ac81-4301-ac46-4bb1777cb07b,Saline,da3e8494-e722-42f4-97d9-57885ccca225,FST Swimming,FALSE,20,33.05,mean,seconds,1.27,SD
35f48e49-c75e-4113-970b-4793c89e67a4,"""Antidepressant effects of AMPA and ketamine combination: role of hippocampal BDNF, synapsin, and mTOR""", L. Akinfiresoye and Y. Tizabi,,Psychopharmacology (Berl),"""RATIONALE: A number of preclinical and clinical studies suggest that ketamine, a glutamate N-methyl-D-aspartate receptor antagonist, has a rapid and lasting antidepressant effect when administered either acutely or chronically. It has been postulated that this effect is due to stimulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors. OBJECTIVE: In this study, we tested whether AMPA alone has an antidepressant effect and if the combination of AMPA and ketamine provides added benefit in Wistar-Kyoto rats, a putative animal model of depression. RESULTS: Chronic AMPA treatment resulted in a dose-dependent antidepressant effect in both the forced swim test and sucrose preference test. Moreover, chronic administration (10-11 days) of combinations of AMPA and ketamine, at doses that were ineffective on their own, resulted in a significant antidepressant effect. The behavioral effects were associated with increases in hippocampal brain-derived neurotrophic factor, synapsin, and mammalian target of rapamycin. CONCLUSION: These findings are the first to provide evidence for an antidepressant effect of AMPA and suggest the usefulness of AMPA-ketamine combination in treatment of depression. Furthermore, these effects appear to be associated with increases in markers of hippocampal neurogenesis and synaptogenesis, suggesting a mechanism of their action""",http://www.ncbi.nlm.nih.gov/pubmed/23732839,,2013,,b0aa72fe-c24a-4eaa-b3d7-b274afd08387,3817,Akinfiresoye-2013-Antidepressant effects of AM.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,24/07/2023 09:40,e08db51c-6513-4e03-82e6-1ed6bb766f38,FST ,f3979c7f-10ca-4fc4-917a-7379d48ecaed,FST/Ket 0.5,8,FALSE,138421e0-d4bc-4d12-a1bd-8c8f5a586b2b,FST,FALSE,db039639-0fed-4961-bf5b-7f899db52e0c,Ketamine 0.5,da3e8494-e722-42f4-97d9-57885ccca225,FST Swimming,FALSE,20,40.07,mean,seconds,1.19,SD
35f48e49-c75e-4113-970b-4793c89e67a4,"""Antidepressant effects of AMPA and ketamine combination: role of hippocampal BDNF, synapsin, and mTOR""", L. Akinfiresoye and Y. Tizabi,,Psychopharmacology (Berl),"""RATIONALE: A number of preclinical and clinical studies suggest that ketamine, a glutamate N-methyl-D-aspartate receptor antagonist, has a rapid and lasting antidepressant effect when administered either acutely or chronically. It has been postulated that this effect is due to stimulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors. OBJECTIVE: In this study, we tested whether AMPA alone has an antidepressant effect and if the combination of AMPA and ketamine provides added benefit in Wistar-Kyoto rats, a putative animal model of depression. RESULTS: Chronic AMPA treatment resulted in a dose-dependent antidepressant effect in both the forced swim test and sucrose preference test. Moreover, chronic administration (10-11 days) of combinations of AMPA and ketamine, at doses that were ineffective on their own, resulted in a significant antidepressant effect. The behavioral effects were associated with increases in hippocampal brain-derived neurotrophic factor, synapsin, and mammalian target of rapamycin. CONCLUSION: These findings are the first to provide evidence for an antidepressant effect of AMPA and suggest the usefulness of AMPA-ketamine combination in treatment of depression. Furthermore, these effects appear to be associated with increases in markers of hippocampal neurogenesis and synaptogenesis, suggesting a mechanism of their action""",http://www.ncbi.nlm.nih.gov/pubmed/23732839,,2013,,b0aa72fe-c24a-4eaa-b3d7-b274afd08387,3817,Akinfiresoye-2013-Antidepressant effects of AM.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,24/07/2023 09:40,e08db51c-6513-4e03-82e6-1ed6bb766f38,FST ,9b7fd5a2-5164-460b-8e34-f2737162cbdc,FST/Ket 0.25,8,FALSE,138421e0-d4bc-4d12-a1bd-8c8f5a586b2b,FST,FALSE,f990c413-cdcc-4268-b83b-2358db8192b2,Ketamine 0.25,da3e8494-e722-42f4-97d9-57885ccca225,FST Swimming,FALSE,20,33.57,mean,seconds,1.56,SD
bd3c8505-a242-4b01-a558-2c6a1adb8022,[Inhibition of HCN1 channels by ketamine accounts for its antidepressant actions]," ""J. Li, F. F. Chen, X. D. Chen and C. Zhou""",,Sichuan.Da.Xue.Xue.Bao.Yi.Xue.Ban.,"""OBJECTIVE: To investigate the roles of hyperolarization-actived cyclic nucleotide-gated channels 1 (HCN1) in antidepressant actions of ketamine (KET). METHODS: Male HCN1 knock out (HCN1-/- ) and wildtype (HCN1+/+ ) C57BL6 mice (8-12 weeks, 20-25 g) were chosen. The depression model of mice was developed by continuously oral administration of low dosage of corticosterone (CORT). The immobility time in forced swimming tests (FST) was used to assess the depressive state of mice. Then the two genotype depressive mice were treated with single intraperitoneal injection of 5 mg/kg ketamine (KET group, n=7) or same volume of normal saline (NS group, n=7) respectively. After treatment, the immobility time at 30 min, 24 h and 7 d after the intraperitoneal injection of ketamine or normal saline in CORT-treated mice were compared. In addition, normal HCN1-/- and HCN1+/+ mice were intraperitoneally injected of BrdU and then treated with 5 mg/kg ketamine (KET group, n=5) or same volume of normal saline (NS group, n= 5) by single intraperitoneal injection. Each group was euthanized for immunohistochemical processing of 5-Bromo-2-deoxyuridine (BrdU)-labeled cells in hippocampus at 24 h after the intraperitoneal injection of saline or ketamine. RESULTS: The immobility time in FST of HCN1-/- mice was less than the HCN1+/+ mice before administration of CORT. It shows that the depressive state of HCN1-/- mice is less intensive than that of HCN1+/+ mice. And the immoblility time in both HCN1-/- and HCN1+/+ mice was increased after oral administration of low dose corticosterone, with an increase in depression. In addition, the comparisons were also made to the reduction of immobility time within 30 min, 24 h and 7 d. At any time point, the reduction of immobility time in HCN1+/+ KET group was higher than those in the other three groups (P<0. 05). Furthermore, there were no statistical significances among the three groups including HCN1-/- KET group, HCN1+/+ NS group, HCN1-/- NS group at any point. The number of newborn neurons were more in HCN1 mice than HCN1+/+ mice after the treatment of normal saline. Compared with the NS group, the number of neonatal neurons labeled by BrdU were increased after the intraperitoneal injection of ketamine in HCN1+/+ mice but not in HCN1-/- mice. CONCLUSION: Inhibition of HCN1 channels by ketamine accounts for its antidepressant actions""",http://www.ncbi.nlm.nih.gov/pubmed/25571709,,2014,,26d3ab94-f9be-4d46-80bd-ace0608175c8,15696,,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,210f2a19-a7f5-494c-8e6e-77d083812a51,Benjamin Lee,Not Reported ,Not Reported ,Not Reported,18/04/2023 12:17,26d2dbad-0ab1-43ac-bd18-c44837c89d49,Repeated forced swim tests (3 times),29eec323-4a07-44a1-9462-50a001e8d5a6,Cort+Veh,7,FALSE,7bc08676-98e5-40a3-a82f-aea113afe078,Model (cort),TRUE,1749359e-9473-4173-82f7-dbc2948c3999,Vehicle,4ce80fb4-6b64-4b84-8080-3fa76ce28592,FST Immobility,TRUE,24,189,mean,seconds,32.83,SD
bd3c8505-a242-4b01-a558-2c6a1adb8022,[Inhibition of HCN1 channels by ketamine accounts for its antidepressant actions]," ""J. Li, F. F. Chen, X. D. Chen and C. Zhou""",,Sichuan.Da.Xue.Xue.Bao.Yi.Xue.Ban.,"""OBJECTIVE: To investigate the roles of hyperolarization-actived cyclic nucleotide-gated channels 1 (HCN1) in antidepressant actions of ketamine (KET). METHODS: Male HCN1 knock out (HCN1-/- ) and wildtype (HCN1+/+ ) C57BL6 mice (8-12 weeks, 20-25 g) were chosen. The depression model of mice was developed by continuously oral administration of low dosage of corticosterone (CORT). The immobility time in forced swimming tests (FST) was used to assess the depressive state of mice. Then the two genotype depressive mice were treated with single intraperitoneal injection of 5 mg/kg ketamine (KET group, n=7) or same volume of normal saline (NS group, n=7) respectively. After treatment, the immobility time at 30 min, 24 h and 7 d after the intraperitoneal injection of ketamine or normal saline in CORT-treated mice were compared. In addition, normal HCN1-/- and HCN1+/+ mice were intraperitoneally injected of BrdU and then treated with 5 mg/kg ketamine (KET group, n=5) or same volume of normal saline (NS group, n= 5) by single intraperitoneal injection. Each group was euthanized for immunohistochemical processing of 5-Bromo-2-deoxyuridine (BrdU)-labeled cells in hippocampus at 24 h after the intraperitoneal injection of saline or ketamine. RESULTS: The immobility time in FST of HCN1-/- mice was less than the HCN1+/+ mice before administration of CORT. It shows that the depressive state of HCN1-/- mice is less intensive than that of HCN1+/+ mice. And the immoblility time in both HCN1-/- and HCN1+/+ mice was increased after oral administration of low dose corticosterone, with an increase in depression. In addition, the comparisons were also made to the reduction of immobility time within 30 min, 24 h and 7 d. At any time point, the reduction of immobility time in HCN1+/+ KET group was higher than those in the other three groups (P<0. 05). Furthermore, there were no statistical significances among the three groups including HCN1-/- KET group, HCN1+/+ NS group, HCN1-/- NS group at any point. The number of newborn neurons were more in HCN1 mice than HCN1+/+ mice after the treatment of normal saline. Compared with the NS group, the number of neonatal neurons labeled by BrdU were increased after the intraperitoneal injection of ketamine in HCN1+/+ mice but not in HCN1-/- mice. CONCLUSION: Inhibition of HCN1 channels by ketamine accounts for its antidepressant actions""",http://www.ncbi.nlm.nih.gov/pubmed/25571709,,2014,,26d3ab94-f9be-4d46-80bd-ace0608175c8,15696,,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,210f2a19-a7f5-494c-8e6e-77d083812a51,Benjamin Lee,Not Reported ,Not Reported ,Not Reported,18/04/2023 12:17,26d2dbad-0ab1-43ac-bd18-c44837c89d49,Repeated forced swim tests (3 times),4af25382-813e-4faa-a5d7-2d15202a62bb,Cort+Ket,7,FALSE,7bc08676-98e5-40a3-a82f-aea113afe078,Model (cort),FALSE,7a920961-b27e-4095-a05c-7d775fa053e2,Ketamine,4ce80fb4-6b64-4b84-8080-3fa76ce28592,FST Immobility,TRUE,24,117.71,mean,seconds,64.87,SD
a3a7af08-4a4f-4440-b1d3-a7b20e02c411,A single dose of S-ketamine induces long-term antidepressant effects and decreases oxidative stress in adulthood rats following maternal deprivation," ""G. Z. Reus, A. S. Carlessi, S. E. Titus, H. M. Abelaira, Z. M. Ignacio, J. R. da Luz, B. I. Matias, L. Bruchchen, D. Florentino, A. Vieira, F. Petronilho and J. Quevedo""",,Dev.Neurobiol.,"""Ketamine, an antagonist of N-methyl-d-aspartate receptors, has produced rapid antidepressant effects in patients with depression, as well as in animal models. However, the extent and duration of the antidepressant effect over longer periods of time has not been considered. This study evaluated the effects of single dose of ketamine on behavior and oxidative stress, which is related to depression, in the brains of adult rats subjected to maternal deprivation. Deprived and nondeprived Wistar rats were divided into four groups nondeprived+saline; nondeprived+S-ketamine (15 mg/kg); deprived+saline; deprived+S-ketamine (15 mg/kg). A single dose of ketamine or saline was administrated during the adult phase, and 14 days later depressive-like behavior was assessed. In addition, lipid damage, protein damage, and antioxidant enzyme activities were evaluated in the rat brain. Maternal deprivation induces a depressive-like behavior, as verified by an increase in immobility and anhedonic behavior. However, a single dose of ketamine was able to reverse these alterations, showing long-term antidepressant effects. The brains of maternally deprived rats had an increase in protein oxidative damage and lipid peroxidation, but administration of a single dose of ketamine reversed this damage. The activities of antioxidant enzymes superoxide dismutase and catalase were reduced in the deprived rat brains. However, ketamine was also able to reverse these changes. In conclusion, these findings indicate that a single dose of ketamine is able to induce long-term antidepressant effects and protect against neural damage caused by oxidative stress in adulthood rats following maternal deprivation""",http://www.ncbi.nlm.nih.gov/pubmed/25728399,,2015,,590e32e6-9076-4b4d-a3a3-2577fa2756f5,39607,Reus-2015-A single dose of S-ketamine induces.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,31/07/2023 10:11,a0a169d9-5bd0-4184-b662-b7e284f8eaba,FST Immobility,d21c10c7-4927-431b-b0fe-bdc48c9ea61d,Non-deprived/FST/Sal,24,TRUE,436a810c-9107-4c6d-a36b-a152541086ec,Control,TRUE,a5a396a1-83ff-4fe1-adab-a2310a6d9231,Saline,cffdca46-5cf3-46ea-a2a5-69b2d0be46cf,FST Immobility,TRUE,336,71.02,mean,seconds,30.45,SD
a3a7af08-4a4f-4440-b1d3-a7b20e02c411,A single dose of S-ketamine induces long-term antidepressant effects and decreases oxidative stress in adulthood rats following maternal deprivation," ""G. Z. Reus, A. S. Carlessi, S. E. Titus, H. M. Abelaira, Z. M. Ignacio, J. R. da Luz, B. I. Matias, L. Bruchchen, D. Florentino, A. Vieira, F. Petronilho and J. Quevedo""",,Dev.Neurobiol.,"""Ketamine, an antagonist of N-methyl-d-aspartate receptors, has produced rapid antidepressant effects in patients with depression, as well as in animal models. However, the extent and duration of the antidepressant effect over longer periods of time has not been considered. This study evaluated the effects of single dose of ketamine on behavior and oxidative stress, which is related to depression, in the brains of adult rats subjected to maternal deprivation. Deprived and nondeprived Wistar rats were divided into four groups nondeprived+saline; nondeprived+S-ketamine (15 mg/kg); deprived+saline; deprived+S-ketamine (15 mg/kg). A single dose of ketamine or saline was administrated during the adult phase, and 14 days later depressive-like behavior was assessed. In addition, lipid damage, protein damage, and antioxidant enzyme activities were evaluated in the rat brain. Maternal deprivation induces a depressive-like behavior, as verified by an increase in immobility and anhedonic behavior. However, a single dose of ketamine was able to reverse these alterations, showing long-term antidepressant effects. The brains of maternally deprived rats had an increase in protein oxidative damage and lipid peroxidation, but administration of a single dose of ketamine reversed this damage. The activities of antioxidant enzymes superoxide dismutase and catalase were reduced in the deprived rat brains. However, ketamine was also able to reverse these changes. In conclusion, these findings indicate that a single dose of ketamine is able to induce long-term antidepressant effects and protect against neural damage caused by oxidative stress in adulthood rats following maternal deprivation""",http://www.ncbi.nlm.nih.gov/pubmed/25728399,,2015,,590e32e6-9076-4b4d-a3a3-2577fa2756f5,39607,Reus-2015-A single dose of S-ketamine induces.pdf,,23/02/2023 11:28,51cf0ef9-5dd5-48fc-bb08-c1c0447cae8f,2,FALSE,09ab5125-36c9-41c2-9b45-94169c7a41a6,Lucas O'Connor,Not Reported ,Not Reported ,Yes ,31/07/2023 10:11,a0a169d9-5bd0-4184-b662-b7e284f8eaba,FST Immobility,ed9d0372-aed6-4115-bd31-b1a5010bf4de,Non-deprived/FST/S-Ket,24,TRUE,436a810c-9107-4c6d-a36b-a152541086ec,Control,FALSE,2e85770c-d053-4b69-baaa-6ff72b37137a,S-Ketamine 15,cffdca46-5cf3-46ea-a2a5-69b2d0be46cf,FST Immobility,TRUE,336,11.84,mean,seconds,5.07,SD
